artistname,artistid,Total tracks
Leonard Bernstein,15989,26
Shai,15809,26
Lyle Lovett,16469,26
Johnny Hartman,19347,26
Ismael Miranda,20029,26
Andrew W.K.,17767,26
Carl Carlton,22394,26
Georgia Gibbs,20781,26
Beverly Morgan,910723,26
Profyle,260628,26
Grupo Exterminador,309055,26
Los Dareyes De La Sierra,298382,25
Gisselle,101629,25
We Five,133833,25
Lizz Wright,162982,25
Zedd,819477,25
Grupo Cañaveral De Humberto Pabón,1525697,25
Thirty Seconds To Mars,1527062,25
Emilio Navaira,27285,25
Vic Damone,17605,25
Afroman,17514,25
Fenix TX,14444,25
The Nixons,43488,25
Charlie Parker Sextet,36019,25
Nonpoint,4629,25
Black Uhuru,73,25
Shyne,260,25
Joe Walsh,1373,25
Rose Royce,1510,25
George Jones,2184,25
Eddie Kendricks,1515,24
The Miracles,69,24
Wayman Tisdale,4417,24
LOUIS JORDAN,5064,24
William Bell,5016,24
Betty Carter,10606,24
Paul Stanley,11464,24
Ice Cube,11327,24
Alfred Apaka,40293,24
Chick Corea Elektric Band,40248,24
Lucky Peterson,40622,24
Kris Kristofferson,31395,24
Quicksand,34657,24
Jr. Walker & The All Stars,50034,24
Tanya Tucker,14240,24
Steve Miller Band,15945,24
Jay & The Americans,16212,24
Patty Loveless,18537,24
Clark Terry,18562,24
The Puppini Sisters,25688,24
Soraya,27256,24
Randy Kaplan,786402,24
Teairra Marí,187553,24
Lowen And Navarro,177391,24
Mach & Daddy,163624,24
Julio Chaidez,298729,24
Quincy Jones And His Orchestra,423672,24
Makano,310192,23
Earl Grant,294091,23
La Factoria,163587,23
Eddy Howard,95412,23
Janine Jansen,743419,23
Angels & Airwaves,624258,23
Les McCann LTD,1213924,23
James P. Johnson,27582,23
Holly Williams,25636,23
Ethel Merman,21950,23
Big Mama Thornton,22364,23
Gary Hobbs,23683,23
Oleander,17490,23
Grupo Mojado,11931,23
Stan Getz Quartet,31430,23
Hector & Tito,28384,23
Rufus Thomas,10454,23
The Sandpipers,8342,23
Elmer Bernstein,9888,23
Toño Rosario,5670,23
Cass Elliot,7057,23
Charlie Haden,745,23
Edwin Starr,345,23
Rick James,1419,23
Thomas Hampson,2712,23
Dexys Midnight Runners,1482,22
The Spencer Davis Group,59,22
David Holmes,6688,22
Brian Culbertson,4497,22
Bob Crosby & His Orchestra,10499,22
James Last,11095,22
Johnny Rodriguez,31748,22
Lou Donaldson,13729,22
New York Dolls,24313,22
The New Stan Getz Quartet,18549,22
Domingo Quiñones,727566,22
The Avener,2036089,22
Wiener Philharmoniker,117785,22
Ram Herrera,313327,22
Hollywood Bowl Orchestra,510232,22
Polo Urias,338581,22
David Rolas,340485,22
Los Fugitivos,294955,21
Buddy Miles,163292,21
The Soul Children,103153,21
The Diamonds,18583,21
La Fiebre,19022,21
Johnny Mercer,16758,21
George Shearing,17061,21
Gary Burton,41004,21
Mark Collie,46355,21
Robben Ford,4715,21
The Bar-Kays,5004,21
Ednita Nazario,1014,21
Sergio Mendes,815,21
The Bravery,1081,20
Steve Forbert,1378,20
Lena Horne,2676,20
Coleman Hawkins,2769,20
Rakim,65,20
Miles Davis,363,20
Dave Mason,7058,20
Raphael Saadiq,10865,20
Chico Hamilton,10769,20
The Emotions,49943,20
Charlie Barnet & His Orchestra,41082,20
Los Invasores De Nuevo León,30664,20
