artistname,artistid,Total tracks
Louis Armstrong / Gordon Jenkins Orchestra And Choir,67531,2
Louis Armstrong / Sy Oliver's Orchestra,67532,2
Tamba Trio,72333,2
One Way / Al Hudson,72076,2
Jimmy Ruffin / David Ruffin,72115,2
Muddy Waters / Sunnyland Slim,72672,2
Kitty Carlisle,43803,2
Brian Tyler,45232,2
Roy Eldridge & His Orchestra,43497,2
Selena Y Los Dinos,47905,2
Sir Isaac & The Do-Dads,47997,2
The Astors,47978,2
The Charmels,48000,2
Sir Mack Rice,48002,2
Linda Lyndell,48009,2
The Blasters,48022,2
Lil' Flip,48054,2
Mirella Freni,48259,2
Hayley Westenra,46128,2
Scotty,46638,2
Frances Bible,43805,2
Gary Crosby & Friend,56056,2
Desmond Dekker,58135,2
Sheriff,59539,2
Tony Toni Toné,53920,2
Brownie McGhee,55829,2
Loretta Devine,54238,2
Rick Ross,52268,2
The Gregg Allman Band,52351,2
"Meade ""Lux"" Lewis",51698,2
Wynton Kelly,51700,2
System of a Down,48797,2
Simon & Garfunkel,48897,2
Marc Streitenfeld,49688,2
Stefy,48921,2
I-20,15003,2
Smith,15036,2
Anthony Hamilton,15137,2
Elmore James,14703,2
Little Richard,14422,2
The Starting Line,14443,2
Caddillac Tah,14818,2
Teddy Thompson,14150,2
Bobby Goldsboro,14271,2
Jackie DeShannon,14277,2
The Electric Prunes,12025,2
Night Ranger,12824,2
Great White,12830,2
David Axelrod,11522,2
Cannonball Adderley Quintet,11574,2
Nino Rota,11588,2
Angela Gheorghiu,11900,2
Billy May,13946,2
Culture Club,13739,2
Dwight Sills,13665,2
Celebration,13632,2
Leon Russell,13637,2
Case,13651,2
Run D.M.C.,13447,2
The Stone Roses,13562,2
Big Joe Turner,16875,2
Lonnie Smith,16906,2
Richard Elliot,16844,2
Rachelle Ferrell,16789,2
The Smithereens,16816,2
Juliette Gréco,16707,2
Grand Funk,17309,2
The Four Freshmen,17137,2
Luscious Jackson,17161,2
Paul Whiteman & His Orchestra,17205,2
Gordon MacRae,17075,2
Les Paul & His Trio,16482,2
Jill Scott,16462,2
Bobby Womack,16466,2
Us3,16235,2
Giorgio Moroder,16314,2
Kim Carnes,15957,2
Hilary Duff,15514,2
Little River Band,15995,2
Maze,16057,2
Beyoncé,21453,2
Creedence Clearwater Revival,21564,2
Ghostface Killah,21306,2
Mcfadden & Whitehead,21266,2
Stacy Lattisaw,21213,2
The Soul Stirrers,20985,2
Nicolette Larson,22589,2
Darrell Banks,22391,2
Betty Hutton,22001,2
The Angels,22018,2
George Thorogood & The Destroyers,23061,2
Thousand Foot Krutch,23131,2
The Moonglows,22870,2
Bassnectar,23362,2
Edu Lobo,23549,2
Delaney & Bonnie,24064,2
Maria João Pires,24072,2
Angel Y Khriz,24733,2
The Rascals,23824,2
Lily Allen,24981,2
Gregg Allman,25124,2
Manfred Mann's Earth Band,25686,2
Andy Bey,25275,2
Sonny Bono,27825,2
James Booker,27515,2
Stephen Kovacevich,26304,2
Barnstorm,26355,2
The Kinks,19432,2
Manuel Mijares,19404,2
Alvino Rey,19339,2
Eddie Boyd,19148,2
Royal Philharmonic Orchestra,19474,2
Janet Jackson,19514,2
Eric Burdon & The Animals,18587,2
Flip Phillips,18568,2
Ronnie Foster,18632,2
George Howard,18986,2
Benny Carter & His Orchestra,19111,2
Onyx,18208,2
Bill Withers,18236,2
"Richard ""Groove"" Holmes",18238,2
Yuri Buenaventura,18248,2
Wet Willie,18272,2
The Dickies,18490,2
Buddy Bregman,18501,2
Mary Lou Williams,18542,2
Ernestine Anderson,18543,2
Morgana King,18551,2
Alcione,17961,2
Joe Budden,17788,2
The Diplomats,17741,2
Black Child,17729,2
Vita,17730,2
Marvin Berry,2857185,2
Great Southern,2826355,2
Obba Babatunde,2943723,2
Sheri Moon Zombie,2944910,2
The Avener & Kim Churchill,2974617,2
Teri DeSario,2977808,2
DNCE,2987019,2
Bishop Briggs,3274120,2
Aiko Nakasone,3216129,2
Geechie Smith & His Orchestra,3243545,2
Cloves,3043596,2
Grupo H-100,3075700,2
Fredi Walker,3216126,2
Gilles Chiasson,3216127,2
Roy Lee Johnson And The Villagers,3139340,2
Los Ãngeles Azules,4299877,2
The Bandit Band,4408598,2
Lee Webber,4229536,2
Cory Wells & The Enemys,3864459,2
Ella Fitzgerald And The Keys,3714126,2
Ella Fitzgerald And Her Four Keys,3726914,2
J. Quinton Johnson,3763173,2
Phillip Glasser,3392849,2
Cynthia Silva La Grande,3504011,2
Fred Buda,2821760,2
Tiggs Da Author,2824545,2
Dicky Tarrach,2825973,2
London Festival Chorus,2826266,2
Mayumi Fujikawa,2826292,2
Josef Sakonov,2812997,2
Jos?? James,2813881,2
Tony! Toni! Ton??!,2813913,2
Ron Barron,2821757,2
Group 3,2814055,2
Bunny Livingstone,2820695,2
Velma Middleton,2725694,2
The Temptations / Kaye Stevens,2753407,2
The Temptations / George Kirby,2753408,2
Bill Murry,2690227,2
Motortown Revue Announcer,2690228,2
Alexander Kerr,2811084,2
Nina Bernstein,2794460,2
The London Opera Chorus,2794492,2
"Kirov Orchestra, St Petersburg",2794659,2
Orchestra of the Mariinsky Theatre,2794735,2
Grupo Toppaz de Reynaldo Flores,2795006,2
Shirley Walton,2529618,2
Jess Glynne,2317426,2
"Eastman-Rochester ""Pops"" Orchestra",2332949,2
Kristen Lee Kelly,2510953,2
Bernie Hayes,2529623,2
Branding Iron,2529628,2
Louis Armstrong / Billie Holiday / Sy Oliver & His Orchestra,2656803,2
Jesús Mendoza,2552486,2
La Bandononona Clave Nueva De Max Peraza,2552488,2
La Séptima Banda,2563672,2
Annette Thomas,2602827,2
Sons Of Slum,2602828,2
Bob Babbitt,2092635,2
Martin & Finley,2092649,2
The Courtships,2092653,2
Patsy Todd,2078493,2
Lee Holyfield,2131625,2
La Poderosa Banda San Juan,2132740,2
Jay Garner,2111956,2
The Sonny Bradshaw Quartet,2100106,2
Amy Wilcox,2141453,2
Banda La Tunera,2240755,2
Arturo Jaimes Y Los Cantantes,2257024,2
LANY,2241866,2
Aarón Y Su Grupo Ilusión,2266117,2
Jimmy Stanley,2147933,2
Knox Brown,2153521,2
El Bebeto,1510029,2
Jencarlos Canela,1512229,2
Lionel Hampton And His Orchestra / Illinois Jacquet,1513459,2
Banda Limonense,1460428,2
BANDA TRES RIOS,1530632,2
Lionel Hampton And His Orchestra / Milt Buckner,1513482,2
American Authors,1527224,2
J. Balvin,1960771,2
Derrick Hodge,1955478,2
Billon,1918157,2
Posse,1899605,2
Different Shades Of Brown,1899612,2
Vincent DiMirco,1899608,2
Larry Hernández,983845,2
Bobby Sherwood and His Orchestra,927341,2
Hunter Hayes,971274,2
James Brown & The J.B.'s,985107,2
2 Chainz,1001395,2
The Marvelows,1013618,2
He Is We,871436,2
Los Byby's,921475,2
Robert Brookins,911155,2
terry shand & his orchestra,826918,2
Marky Mark And The Funky Bunch,881654,2
Sonido Mazter,881726,2
Alberto Y Roberto,776528,2
The Blackberries,790638,2
Leonard Bernstein / London Symphony Orchestra / Kurt Ollmann / Della Jones / June Anderson / Jerry Hadley,775381,2
Best Coast,750787,2
Leonard Bernstein / London Symphony Orchestra / June Anderson / Jerry Hadley,775383,2
Sky Ferreira,689061,2
Stephanie Lynn & High Energy,755193,2
Art Tatum and His Band,720277,2
The Rippingtons / Brandon Fields / Steve Reid,726788,2
The Rippingtons / Carl Anderson / Rob Mullins / Steve Reid,728526,2
Valery Gergiev,1062164,2
Bad Meets Evil,989921,2
Roy And Millie,1050474,2
Bryan Ellis,1115523,2
Pentatonix,1120183,2
Repairs,1165187,2
Machine Gun Kelly,1167628,2
Tom Tucker,1173241,2
8-Ball,1150114,2
Rotterdam Philharmonic Orchestra,1192676,2
Earl Van Dyke Sextet,1232831,2
Horacio Palencia,1258795,2
Cannonball Adderley / Nat Adderley / Jimmy Cobb / Junior Mance / Sam J. Jones,1268583,2
Capital Cities,1350245,2
Pacific Air,1379962,2
Seven Lions,1383360,2
31st Of February,1357194,2
The Second Coming,1357195,2
Gene Harris & The Three Sounds,1313495,2
Rosalind Elias,1359919,2
Dagny,1412953,2
One Way Featuring Al Hudson,1430099,2
Iggy Azalea,1420432,2
OneRepublic,125710,2
Malcolm Mcdowell,124682,2
Lady Antebellum,108306,2
Iona Brown,115309,2
Simon Preston,115820,2
Volumen X,116219,2
Fire Inc.,129715,2
Alicia Myers,130650,2
Quarterflash,134984,2
Beth Rowley,136139,2
Alvin And The Chipmunks,163053,2
Maria Isabel,163425,2
Lang Lang,154874,2
Golden Earring,162461,2
Elton John,162979,2
Jorge Bolet,156689,2
The Blackbyrds,156901,2
Russell Watson,157211,2
Bond,155008,2
Count Basie Sextet,148892,2
ElectroVamp,137572,2
Melody Gardot,150997,2
Reggie Milner,152724,2
Calvin Scott,152726,2
John Gary Williams,152727,2
Otis Taylor,152848,2
Bob Welch,80217,2
Jimmy Smith / Grady Tate / Kenny Burrell,79151,2
Sugarcult,82152,2
Michael Sembello,80585,2
La Onda,83801,2
Van Lester,84843,2
The Rippingtons / Brandon Fields,84946,2
Ileana Cotrubas,91390,2
The Slickers,90822,2
Eddie Henderson,86722,2
The Rippingtons / Brandon Fields / Carl Anderson,84940,2
The 88,87186,2
Colbie Caillat,87898,2
Blue Lu Barker,95639,2
Don Grusin,97762,2
Soul For Real,100652,2
John Handy,100654,2
Chenoa,100253,2
"Bertha ""Chippie"" Hill",93164,2
Bedlam,93210,2
Héctor Lavoe,92247,2
Queensrÿche,92547,2
Puzzle,241060,2
The Swingle Singers,241085,2
John Elg,241243,2
Tamás Vásáry,248999,2
Imelda May,253539,2
Stomu Yamash'ta,254823,2
Lionel Hampton & His Just Jazz All Stars,230497,2
Paul Grabowsky,228639,2
Pamela Blair,228795,2
Rosetta Howard,215619,2
Wisin,279304,2
Johnny Walker,280169,2
Jessye Norman / Gewandhausorchester Leipzig / Kurt Masur,282263,2
Jan Clayton,275626,2
Buzzie,274944,2
Danny Hernandez & The Ones,274945,2
Johnny Pate,276941,2
Crystal Mansion,276943,2
Joe Harnell,274855,2
Stu Gardner,274856,2
Michael Denton,274942,2
Father MC,256747,2
Bob & Marcia,269935,2
Love And Kisses,269866,2
Ella Fitzgerald / Joe Williams / Count Basie,267625,2
Hearts Of Stone,271468,2
La Roux,271470,2
Shlomo Mintz,189997,2
Baltimore Symphony Orchestra,190089,2
The Isley Brothers / Ronald Isley,187555,2
P.J.,185037,2
Pittsburgh Symphony Orchestra,182847,2
Patato Y Totico,186529,2
Jessica Harper,186824,2
The English Concert,194838,2
Orquesta Guayacan,194977,2
Wolfe,195149,2
Jerry Medina,210492,2
"Harry ""Sweets"" Edison",196493,2
Glory,167902,2
Duel,170951,2
Manny Manuel,169062,2
Henry Gibson,172774,2
Karen Black,172775,2
Dodo Marmarosa,171624,2
Denise Lasalle,179841,2
Today,173406,2
Dave Valentin,175858,2
Jeri Southern / Dave Barbour Trio,317356,2
Tampa Red / Georgia Tom,318811,2
Dave Prince,314227,2
Zac Brown Band,313266,2
Henryk Szeryng,311997,2
K'Jon,312857,2
Jay & The Techniques,312868,2
Diego Rivas,313124,2
Florence + The Machine,314523,2
The Rippingtons / Kirk Whalum / Russ Freeman,326284,2
Les Paul Trio,319123,2
Andrew Odom,319134,2
Modern Jazz Sextet,319000,2
Karen Clark-Sheard / The Clark Sisters,318360,2
Jay McShann Orchestra,318845,2
Lionel Hampton & His Quartet,318847,2
Lionel Hampton & His Octet,318848,2
Every Mother's Son,318907,2
Harry Edison,309633,2
La Tropa Vallenata,309052,2
The Blues Magoos,310016,2
Jayko,310023,2
Los Rehenes,310147,2
Quagmire,307694,2
Cardenales de Nuevo León,309050,2
Lee Sain,306318,2
Miles Pena,306787,2
La Secta,298950,2
Enanitos Verdes,298951,2
New York Voices,281258,2
Eric Morris,290965,2
Jenni Rivera,298678,2
Polaco,298542,2
JR Ranks,298603,2
Eddy Lover,298605,2
Limite,295647,2
La Perla Colombiana,295650,2
Stewie,369835,2
Fabian Alonzo,369822,2
Vanessa Del Fierro,369824,2
La Pazion De Durango,369812,2
Andikiru,369711,2
The Sylvers,369964,2
Joyce Kennedy,384605,2
William Jimenez,378269,2
Crystal De La Cruz,378270,2
Claudia López,378272,2
Gustavo Juarbe,378273,2
Do-Re-Mi Children's Chorus,368511,2
The Jiving Juniors,370209,2
Ray De La Paz,341821,2
Melvin Van Peebles,342144,2
János Starker,363903,2
John Boutté,357845,2
Richard Betts,369330,2
Bob Wills & His Texas Playboys / Bill Jack Wills,369119,2
Bob Wills & His Texas Playboys / Jimmie Widener,369116,2
Bob Wills & His Texas Playboys / Lee Ross,369122,2
Ester Dean,408976,2
Robert Glasper Experiment,405612,2
Banda Carnaval,396103,2
Meriel Dickinson,395196,2
Franklin Cohen,388701,2
Concertgebouw Orchestra Of Amsterdam,389638,2
The Selah Singers,419945,2
Enigma Norteño,429025,2
JIMMIE DOLAN,424461,2
Antonietta Stella,427063,2
Ray McKinley,448992,2
L'Orchestre de la Suisse Romande,473066,2
The Easybeats,500115,2
Lois,491235,2
Miguel,467113,2
Pilar Lorengar,580255,2
Crown Prince Waterford,582341,2
Redwood,622208,2
Ed Sheeran,603314,2
John Grant,574845,2
Sandra Wright,544156,2
Valentín Elizalde,524069,2
Banda Sinaloense MS de Sergio Lizárraga,524278,2
The Leaders,548874,2
R.B. Hudmon,550970,1
The Green Brothers,554717,1
Neon Trees,526130,1
Germán Montero,541480,1
Bobby Vee & The Shadows,544841,1
Louis Armstrong / Gordon Jenkins' Orchestra,564872,1
Christopher Dearnley,561698,1
The Mellomen,563525,1
The Pretty Reckless,578298,1
Randy Montana,572334,1
Julia Lee & Her Boyfriends,586172,1
Jonas Kaufmann,596585,1
The Space Angels,596909,1
The Rivieras,597161,1
Jimmy Sturr,606108,1
Deon Estus,607065,1
Tyler Dickerson,603123,1
Bob Balaban,468093,1
Yolanda Be Cool,468488,1
YB,470519,1
Los Llayras,481860,1
Donny & Marie,482211,1
Ben L'Oncle Soul,489074,1
Chon Arauza Y Su Furia Colombiana,489255,1
Mark Howard,491932,1
Luis Angel,494457,1
Bobby Van,498580,1
"Howlin' Wolf with Steve Winwood: Piano & Organ, Bill Wyman: Bass Guitar, Shaker & Cowbell Charlie Watts: Drums, Conga & Assorted Percussion",513402,1
L'Renee,522902,1
Noël Coward,529357,1
Pattie Brooks,530278,1
Ilana,530470,1
Kenny Delmar,509095,1
Howlin' Wolf with Steve Winwood: Piano & Organ,513399,1
"Howlin' Wolf with Steve Winwood: Piano & Organ, Bill Wyman: Bass Guitar, Charlie Watts: Drums, Conga & Assorted Percussion",513400,1
Johnny Smith Quintet,512271,1
Jack Johnson / Paula Fuga,449259,1
Marty Mcfly,450973,1
Roger Hatcher,435591,1
12 Stones,436919,1
Joan Roberts,429895,1
The Undead,453974,1
Mike Posner,454001,1
Thalía,454068,1
Jesse Price,456305,1
Helen Foster,456708,1
Minneapolis Symphony Orchestra,456791,1
Hindi Zahra,456998,1
Jano,460344,1
Alice Sara Ott,460389,1
Michiel Huisman,462853,1
Johnny Green Orchestra,462948,1
Romance,465282,1
Stromae,466170,1
Treme Brass Band,466558,1
Rayito Colombiano,466935,1
Los Askis,466938,1
Dave Bilbrough,441801,1
Freddie Waters,390520,1
The Phillips Country Ramblers,392005,1
Kenny Kirkland,392487,1
Sandy Rogers,392892,1
Paulo César Pinheiro,394051,1
Soul Messengers,388066,1
Chequers,388069,1
"Jesus ""Chucho"" Valdes",385623,1
James Dooley,385651,1
Michael Muenchow,385696,1
Mashonda,385941,1
The Prime Movers,397050,1
Dick Dale & His Del-Tones,398930,1
The Centurians,398931,1
Rye Rye,398988,1
William Bennett,399607,1
James Monroe,401626,1
Jay Z,406657,1
Victorian Philharmonic Orchestra,412076,1
Ziggy Marley / Jack Johnson / Paula Fuga,404632,1
Bob Wills & His Texas Playboys / Ramona Reed,369123,1
Bob Wills & His Texas Playboys / Billy Bowman,369124,1
Bob Wills & His Texas Playboys / Jack Loyd / Jimmie Widener / Johnny Gimble,369125,1
Bob Wills & His Texas Playboys / Claude Fewell,369126,1
Bob Wills & His Texas Playboys / Joe Holley,369127,1
Bob Wills & His Texas Playboys / Joe Andrews,369128,1
Bob Wills & His Texas Playboys / Cindy Walker,369117,1
Bob Wills & His Texas Playboys / Laura Lee McBride,369118,1
Meredith Edwards / David Nail,369112,1
Bob Wills & His Texas Playboys / Tiny Moore,369115,1
Bob Wills & His Texas Playboys / Bessie Smith,369120,1
Bob Wills & His Texas Playboys / Johnny Gimble,369121,1
R. Kelly / Jay-Z / Beanie Sigel,369206,1
R. Kelly / Jay-Z / Lil' Kim,369207,1
R. Kelly / Jay-Z / Devin The Dude,369208,1
Twiztid,358159,1
Los Palominos,358483,1
Light FM,360633,1
Banda Sinaloense El Recodo De Cruz Lizarraga,361200,1
Myzery,361682,1
Obie Bermúdez,361976,1
Benjamin Wallfisch,363352,1
The Bruce Fowler Big Band,363520,1
Landon Pigg,364693,1
Quietdrive,365473,1
Rosetta Perry,368472,1
Seduction,368585,1
Louis Armstrong And His Dixieland Seven,340464,1
Frances Ruffelle,353092,1
Cleophus Robinson,356085,1
Rockett Queen,357518,1
Shotgun,349543,1
Camarón De La Isla,339770,1
Kaye Ballard,341277,1
Ben Vereen,341283,1
Lucie Arnaz,341284,1
Bonnie Franklin,341286,1
Chaka Khan / Gerald Levert / Yolanda Adams / Carl Thomas,341307,1
Anne Brown,337121,1
Peyote Asesino,338096,1
Dracma,338098,1
Javier Garcia,338100,1
Jomar,338329,1
Marvin Diaz,338336,1
Frankie Negrón,338481,1
The Beans,370210,1
Original Concept,370265,1
Black Flames,370273,1
Poppa Ron Love,370274,1
Davy D.,370275,1
Flor De Lingo,370887,1
Actidud Maria Marta,370888,1
Aurora Y La Academia,370889,1
Full Devil Jacket,370992,1
Bill Cowsill,371026,1
J.T. Taylor,371057,1
Grupo Mateo's,371059,1
Tierra Tejana,371316,1
Ginger Sling,371621,1
Trailer Choir,373392,1
Los Vallenatos De La Cumbia,369668,1
Ainhoa,369721,1
Profyle / Monifah,369693,1
Profyle / Rasheeda,369694,1
Nueva Era,369348,1
Yul Brenner,369639,1
Lordz Of Brooklyn,369643,1
Factory 81,369644,1
Soulkid #1,378396,1
Alissa Moreno,378397,1
Shawn Stockman,385479,1
Giuffria,370038,1
Compass Point All Stars,370114,1
Los Sabaneros / Aniceto Molina,377348,1
Luz Roja De San Marcos / Aniceto Molina,377349,1
Karina Vázquez,378268,1
El Cejas,369813,1
Servero Benito,369814,1
Gerardo López,369825,1
Mariela Matos,369827,1
Zurisaddai Juarbe,369823,1
Serralde,369914,1
Alec Costandinos,369960,1
Brooklyn Dreams,369962,1
Dennis Parker,369963,1
La Diferenzia,374579,1
Long Beach Shortbus,375413,1
Orchestra del Maggio Musicale Fiorentino,296178,1
Mattie Delaney,296464,1
The Blues Busters,296484,1
La Gusana Ciega,296578,1
Nu,297112,1
Jean Jacques Perrey,298024,1
Germán Lizárraga y Su Banda Estrellas De Sinaloa,298666,1
Triny La Leyenda,298683,1
Dareyes De La Sierra,295056,1
Kabah,295621,1
Los Yonics,295625,1
La Maquinaria Norteña,295128,1
Derrick and Patsy,295423,1
Johnny Kemp,294946,1
Banda Guasaveña de Valentín Elizalde,294919,1
The New York Band,294921,1
Giovanni Hidalgo,294924,1
Charlie Sepulveda,294925,1
Drumbago's Orchestra,290966,1
Katey Sagal,284384,1
Sophie Hunger,290410,1
Bunny Debarge,290716,1
The Baba Brooks Band,290953,1
Tasha,294115,1
Jonathan Pryce,293809,1
The Hunters,293918,1
Nora Lee King,281333,1
Joseph Calleja,282207,1
Ralph Marterie,288118,1
Konzertvereinigung Wiener Staatsopernchor,288393,1
Lil Bud,288396,1
Dragon Ash,287041,1
Brian Tyler / Slash,287042,1
The Rezillos,287345,1
"Orchestra of The Royal Opera House, Covent Garden",287352,1
Azul Azul,298243,1
Reina,300868,1
Julio Preciado Y Su Banda Perla Del Pacifico,301294,1
Molly Bee,302006,1
The Gene Harris/Scott Hamilton Quintet,304762,1
Sizu Yantra,305072,1
Merril Bainbridge,305335,1
David Shiner,298988,1
Peter Marshall,298989,1
Circo,298954,1
Shark City Click,305555,1
Stories,305856,1
Jeremias,306046,1
Slim Thug,306152,1
Miguel Y Miguel,306269,1
Walter Egan,306651,1
Martin Page,306652,1
The Bystanders,306866,1
El Chalinillo,306917,1
Omer Simeon,307061,1
Inspector,308770,1
Babyface / K-Ci & JoJo,308903,1
Bobby Nunn,308904,1
Viento Y Sol,310148,1
Lloyd Clarke,311530,1
El Viejo Paulino Y Su Gente,310129,1
Misha Dichter,309761,1
Lemon Pipers,309918,1
Karen Clark-Sheard / Donald Lawrence,318361,1
Karen Clark-Sheard / Kierra Sheard,318363,1
Karen Clark-Sheard / Faith Evans,318359,1
Joe Thomas And His Orchestra,318966,1
Gerald Alston,318967,1
Island Inspirational All Stars,318978,1
Solo / Kieaun Da Golden Child,318997,1
Solo / Brownstone,318998,1
Kandice Love,319091,1
Les Paul & His Orchestra,319121,1
Chet Swiatkowski,318928,1
Bunk Johnson & His New Orleans Band,319140,1
Mercer Ellington & His Orchestra,319142,1
Charles Kynard,319982,1
Sonny Phillips,319985,1
The Jimi Hendrix Experience,319252,1
Mary J. Blige / Jodeci / Christopher Williams / Father MC / Heavy D & The Boyz,326129,1
The Gospel Keynotes,321725,1
Raybon Brothers,321728,1
Susan Aston,321729,1
Bo Donaldson & The Heywoods,322174,1
Descemer Bueno,322181,1
Vivanativa,322182,1
Sparkle / R. Kelly,322201,1
The Jimmy Giuffre 4,322223,1
Hard Rock Sofa,323209,1
Slim Gaillard And His Peruvians,328544,1
The Dixie Rebels,328759,1
Seventh Wonder,328814,1
Jimmy Spicer,328815,1
Juan Magan,332482,1
Kokin,333283,1
The Continentals,330350,1
Chuck Berry / Bo Diddley,326504,1
L.A. Boppers,326535,1
Lee Wilkof,327949,1
Davis Sisters,328106,1
Jessye Norman / Elisabeth Cooper / Renaud Fontanarosa / Benoit Fromange / Wieslaw Janacek / Steve Potts / Willis Patterson,314544,1
Jessye Norman / BBC Choral Society / BBC Singers / BBC Symphony Orchestra / Sir Colin Davis,314545,1
Jenny Pope,313581,1
Traci Lords,314887,1
Craig Chambers,314904,1
Susan Mansur,314910,1
Original 1978 Broadway Cast,314918,1
Louis Jordan / The Calypso Boys,314942,1
Dodie Stevens,315125,1
Lord Douglas Byron,315126,1
Marty Stuart / The Staple Singers,315158,1
Miguel Mateos,315174,1
Ill Al Skratch,315199,1
The Castaways,317140,1
La Numero 1 Banda Jerez De Marco A. Flores,313146,1
Ta Mara & The Seen,314300,1
Pine Top Smith,318812,1
Memphis Minnie / Kansas Joe McCoy,318813,1
The Black Ace,318814,1
Charlie Pickett,318815,1
Peetie Wheatstraw / Lonnie Johnson,318816,1
Jay McShann / Walter Brown,318817,1
Big Walter Price,318818,1
Bill Kenny & The Song Spinners,318837,1
Clarence Profit Trio,318843,1
Earl Hines All Stars,318844,1
"Johnny ""Hammond"" Smith",318342,1
Mary J. Blige / Elton John,318070,1
Mary J. Blige / Eric Clapton,318071,1
Tom Scott / Richard Tee,318120,1
B.B. King / GRP All-Star Big Band,317376,1
Bo Stenhammar,317550,1
Gladys Knight / Vince Gill,317273,1
Lyle Lovett / Al Green,317275,1
Aaron Neville / Trisha Yearwood,317276,1
Little Richard / Tanya Tucker,317277,1
Patti LaBelle / Travis Tritt,317278,1
Clint Black / The Pointer Sisters,317279,1
Natalie Cole / Reba McEntire,317280,1
Allen Toussaint / Chet Atkins,317282,1
George Jones / B.B. King,317283,1
Dave Barbour / Jeri Southern,317355,1
Fenton Robinson,178734,1
John Reardon,179779,1
The Jackson Southernaires,180751,1
Roz Ryan,183898,1
Carlo Bergonzi,184081,1
Roberto Szidon,182404,1
The Vagabonds,171692,1
Johnnie Johnston,172661,1
Gerald Price,172680,1
Anna Maria Alberghetti,172696,1
Richard Pryor,172714,1
Timothy Brown,172773,1
The Working Title,173083,1
David Ruffin / Jimmy Ruffin,173384,1
Tranzas,174019,1
Alice Playten,174222,1
Driver,174378,1
Allure / Nucci Rey O,169961,1
Allure / Miri Ben-Ari,169962,1
Mary J. Blige / Common,169964,1
Myleene Klass,170956,1
John Conlee,171152,1
Los Kapsi,168710,1
Wayne Henderson,168826,1
Dhira,169014,1
Long Beach Dub Allstars,166882,1
India / Tito Nieves,169060,1
India / Marc Anthony,169061,1
Erre XI,163495,1
Sergio Dalma,163502,1
Fanny Lu,163568,1
Babasonicos,163653,1
Bag Raiders,163902,1
Wagner Love,164704,1
Ralph Sutton,164953,1
Big Joe,165079,1
Trevor Pinnock,165216,1
Betty Davis,165308,1
Julia Fischer,165400,1
"Bonnie ""Prince"" Billy",203551,1
Oscar Woods,201470,1
Ray Kennedy,202236,1
Jessie James,202274,1
Ant Banks,202702,1
Red Sovine,206984,1
Los Estramboticos,207120,1
Latin Fresh,207135,1
Betty Buckley,208512,1
Johnny Lytle,208678,1
Andrei Gavrilov,203990,1
Anne-Sophie Mutter,204088,1
Robert Mitchum,204587,1
Tex Beneke,212894,1
Boogaloo Joe Jones,213609,1
Charles Earland,213611,1
Joe Hicks,213626,1
Alexander-Sergei Ramirez,209535,1
Ian Gillan,218153,1
Nicky Thomas,218744,1
Paula Fernandes,221091,1
Lord Tanamo,222654,1
Don Redman,194778,1
Oscar Rivera,190382,1
Tom McDermott,191901,1
Jellybean,192187,1
Gustav Mahler Jugendorchester,198940,1
Banbarra,199382,1
Andreas Scholl,199465,1
Aldo Ranks,199948,1
Carlos Lyra,199998,1
Jimmy Lewis,196483,1
D.C. LaRue,185670,1
Maxine Brown,185773,1
Lloyd Robinson,184444,1
Keith,188615,1
Bernard Purdie,189419,1
Zeca Baleiro,271382,1
Alton McClain & Destiny,271638,1
"Ariel ""El Puro""",271908,1
Danny White,272969,1
Randy Houser,267707,1
Bob Eberly,267989,1
Eli Young Band,269398,1
Brenda And The Tabulations,269862,1
Ritchie Family,269863,1
Meco,269865,1
Ultimate,269868,1
Humberto Ramirez,258378,1
Kid Cudi,259603,1
Ray BOLGER,254607,1
Bert Convy,261642,1
Detroit Cobras,267254,1
City High / Eve,267416,1
The Eligibles,261644,1
Breaking Point,265135,1
Mildred Jones,265150,1
Anita O'Day / Oscar Peterson,265168,1
J.P. Torres,265331,1
"Paul Jackson, Jr.",265422,1
Barney Ales,274943,1
Lafayette Afro Rock Band,274890,1
Bits & Pieces,274900,1
After 7,276146,1
Jessye Norman / Geoffrey Parsons,282264,1
Jessye Norman / Irwin Gage,282265,1
Jessye Norman / The Boston Pops Orchestra / John Williams,282267,1
Jessye Norman / London Symphony Orchestra / Sir Colin Davis,282269,1
James Levine / Mary Ann Archer / Mark Gould / Gregory Zuber / Jessye Norman,282271,1
Cliffie Stone,280247,1
Sammy Kershaw / Lorrie Morgan,280351,1
Roger Miller / Danny Gatton,280701,1
Digital Assassins,279276,1
Far East Movement,277214,1
Gina Gershon,277623,1
Nightlife Unlimited,278011,1
Williams Brothers,278927,1
The Max Roach 4,238001,1
Shirley Ross,235594,1
Johnny Desmond,235642,1
Teddy Wilson and His Orchestra,237002,1
Rusty Bryant,233450,1
Lionel Hampton / Oscar Peterson,233581,1
John Fred & His Playboy Band,235336,1
Kevin Ceballo,213959,1
Youn Sun Nah,231781,1
The Piltdown Men,229461,1
Jimmy Boyd,230270,1
Robert Preston,230455,1
Graeme Allwright,230518,1
Peter Allen,230634,1
Parlet,230638,1
Ralph Burns Orchestra,230709,1
Charlie Parker / Machito And His Afro-Cuban Orchestra,227521,1
Nia Peeples,227599,1
GZA,227846,1
Southside Movement,224930,1
Skatt Bros,224995,1
Aldo Romano,225007,1
Guru Josh Project,225645,1
Kevin Rudolf,254827,1
